Question,Answer,Wrong1,Wrong2,Wrong3
" An island in the nation of Fiji, which has long chafed under rule from Fiji",Rotuma,Tuvalu,Viti Levu , Vanua Levu
 Christmas Island belongs to what nation,Australia,Indonesia,England,Canada
 Country with the least annual hours of sunshine,Scotland,Singapore,United States,Canada
" He visited Australia and New Zealand, then surveyed the Pacific Coast of North America",George Vancouver,Alexander,Caesar Augustus,Tamerlane
 Hell's Canyon on the Snake River is deeper than the _______,Grand Canyon,Antelope Canyon,Waimea Canyon,Glen Canyon
 Name the ancient region that corresponds roughly to modern day Tuscany,Etruria,Lucca,Pisa,Florence
 Name the famous art museum in Florence,Uffizi,Bargello,Opera,Pitti Palace
 On which continent is Lake Titicaca,South America,Africa,Australia,Asia
 On which Hawaii island is Waikiki Beach,Oahu,Maui,Kauai,Lanai
 Point at which the Earth's meridians converge,Poles,Meridian,Arctic circle,Latitude lines
 The country formerly known as Upper Volta is now called _______,Burkina Faso,Mali,Niger,Benin
 The official language of Kenya,Swahili,English,Luhya,Luo
 The Western Sahara is the territory of what nation,Morocco,Niger,Egypt,Libya
 This nation has an AK-47 assault rifle on its flag,Mozambique,Maputo,Filipe Nyusi,Morocco
 This New Zealand attraction's light is caused by the incandescence of thousands of tiny glowworms,Te Anau Caves,Waitomo Glowworm caves,Aranui Caves,Ruakuri caves
 What are the series of bumps on a road to restrict traffic speed commonly called,Sleeping Policeman,Speed breakers,Rumble strip,Lying-down policeman
 What Canadian city is at the west end of Lake Ontario,Hamilton,Toronto,Ottawa,Victoria
 What English city does the Prime Meridian pass through,Greenwich,London,Leeds,Birmingham
 What is a language spoken in Ireland and Scotland,Gaelic,Scottish English,French,German
 What is the capital of Latvia,Riga,Jelgava,Casis,Jurmala
 What is the leading port of Austria,Linz,Port of Vienna,Wels,Canavarel
 What is the name if the World's highest city,Lhasa,La paz,Amdo,La Rinconada
 What is the smallest independent state in the world,Vatican,Malta,San Marino,Andorra
 What sea is Bombay on,Arabian,Bay of Bengal,Indian Ocean,Red sea
 What state is the Golden State,California,Arizona,Texas,Washington
 What statue overlooks London's Piccadilly Circus,Eros,Trafalgar Square,Duke of York's,Nelson
 What symbol is on the flag of Vietnam,Star,Half moon,Lion,Circle
 What US city is known as Insurance City,Hartford,New york,Houston,San Franscisco
 Where do Kurkhas come from,Nepal,India,Sri Lanka,Bangladesh
 Where is the Parthenon located,Athens,Cyprus,Greece,Venice
 Where is The Seikan Tunnel located,Tsugaru Strait,Japan,Honshu island,Hokkaido
 Where were the Nazi war criminals tried after WWII,"Nuremberg, Germany",Berlin,Munich,Bastei
 Which is the Earth's fifth largest continent,Antarctica,Australia,America,Asia
 Which is the most southerly capital city in the Commonwealth,Wellington,Canberra,Kingston,Ottawa
 Which of the 48 contiguous states extends farthest north,Minnesota,Alabama,Indiana,Oregon
" Bartolomeo Diaz called it the Cape of Storms, what is it called now",Cape of Good Hope,Cape horn,Cape Cod,North Cape
 Country with the highest recorded temperature (58C),Libya,Mexico,Gautemela,Puerto Rico
" Going due south from New York City, which S. American country do you hit first",Colombia,Brazil,Peru,Argentina
" If its 4:00pm in Seattle Washington, what time is it in Portland Oregon",4,5,3,6
 In what state is Concord,New Hampshire,California,Washinton,Oregon
Upon which river does Washington DC stand?,Potomac,Mississippi,Ohio,Hudson
In which Canadian province is Montreal located?,Quebec,Nova Scotia,Ontario,Manitoba
Which of the United States is situated north of 50 degrees latitude?,Alaska,Maine,Montana,Oregon
Which Illinois city has the third largest population in the USA?,Chicago ,Charlotte ,Cincinnati ,Cleveland 
In which American state is the Everglades National Park?,Florida,Georgia,South Carolina,Texas
Toronto is on the shore of which Great Lake?,Ontario,Huron,Michigan,Superior
In which area of the USA are the states of Vermont and Massachusetts located?,New England,Mid West,Pacific Coast,Superior
"Apart from Alaska, which of the United States has the largest area?",Texas,California,New Mexico,Wyoming
Of which river is the River Ohio a major tributary?,Mississippi,Hudson,Missouri,Rio Grande
