Question,Answer,Wrong1,Wrong2,Wrong3
 A South African monkey was once awarded a medal and promoted to the rank of _____ during World War I,Corporal,Sergeant,Private,Captain
 Eric Honecker was a notorious leader of which country,East Germany,Italy,France,Spain
 Fashionable people in 18th century English courts shaved off their eyebrows and replaced them with false ones made of this (Gross!),Mouse Skin,Human Hair,Fallen Hair,Horse Hair
 For what habit did the wife of Rodrigo de Jerez denounce him to the Spanish Inquisition,Smoking,Drinking,Overeating,Gambling
 He is identified with the expression 'Eureka',Archimedes,Elucid,Pythagoras,Thales
 He was the emperor of Japan during WW II,Hirohito,Yoshihito,Mutsuhito,Akihito
" In 1902 this volcano erupted, killing 30,000",Pelee,Krakatoa,Tambora,Vesuvius
 In which city was President Kennedy killed,Dallas,Houston,Ft. Worth,Austin
 In which city were the Hanging Gardens,Babylon,Uruk,Eridu,Mari
 In which country did the Boxer Rebellion take place,China,Korea,Japan,Mongolia
" Known as 'The Butcher of Lyons', name the World War Two Gestapo chief who was captured in South America and tried in Lyons in 1987",Klaus Barbie,Hans Frank,Hermann Göring,Rudolf Hess
 Name the first black nation to gain freedom from European colonial rule,Haiti,Senegal,Kenya,Liberia
 Name the incident in which tea was dumped into the harbour,Boston Tea Party,Pontiac's Rebellion,Molasses Act,Slave Rebellion
 Previous name of John F. Kennedy Airport,Idlewild,LaGuardia,Ithica,White Plains
 Ronald Reagan was Governor of which American State,California,Oregon,Texas,Nevada
 The warriors tribes of this country used to hang the testicles of those they killed in battle on the ends of their spears,Ethiopia,Sudan,Senegal,Kenya
" These peoples, 7th-century native Mexicans, went into battle with wooden swords so as not to kill their enemies",Toltecs,Zapotec,Triqui,Otomi
 This frontiersman and politician was killed at the Alamo,Davey Crockett,Cyrus Alexander,Daniel Boone,William Becknell
 This was the largest real estate deal in US history,Louisiana Purchase,Alaska Purchase,Texas Annexation,Mexican Cession
 This word describes the nazi annihilation of the Jewish people,Holocaust,Blitzkrieg,Operation Blue,Rattenkrieg
 War heroine Violette Bushell was better known by this married surname,Szabo,Tania,Selwyn,Jepson
 What country's people were taxed for using salt in the 17th century,France,Germany,Italy,England
 What did the Manhattan project set out to develop in 1941,Atomic Bomb,Nuclear Bomb,Hydrogen Bomb,Fusion Bomb
 What great reformer and theologian boasted he could drive away the evil spirit with a single fart,Martin Luther,Jakob Miller,Michael Vehe,Johann faber
 What innovation did London's fire brigade first acquire in 1866,Ladders,Fire Axe,Fire Bucket,Nozzle
 What is the lowest rank of British nobility,Baron,Duke,Count,Esquire
 What leader was called 'Man of Blood and Iron',Bismarck,Brandt,Bormann,Adenauer
" What nation saw its new president call it the carcass of a civic society, and a senile country slouching towards third world status, in 2000",Russia,China,Kosovo,Algeria
 What volcano destroyed Pompeii,Vesuvius,Pelee,Krakatoa,Tambora
 What was a favourite potted plant in Victorian houses,Aspidistra,Calliandra,Dactylis,Drosera
 What was the name of Plato's school,Academy,Lyceum,Colonus,House of Wisdom
 What was used before blotting paper,Pouncepot,Parchment,quill,muffineer
" When did the World War I Peace Congress open in Versailles, France",1/18/1919,7/28/1914,11/11/1918,8/5/1914
 Where in England was the Duchess of Windsor appropriately buried,Windsor,Bedford,Glastonbury,Stafford
 Which American soldier was born in Scotland became a Russian Rear Admiral and had a dance named after him,John Paul Jones,Nathanael Greene,Ulysses S. Grant,Robert E. Lee
 Which complex was opened in 1936 as the British Film industry's equivalent of Hollywood,Pinewood,Ealing,Shepperton,Elstree
 Which country has been led by Hosni Mubarak,Egypt,Israel,Saudi Arabia,Jordan
 Which famous piece of artwork depcits the Battle of Hastings,Bayeux Tapestry,Late Antique,Battle of Cascina,Alexander Mosaic
