Question,Answer,Wrong1,Wrong2,Wrong3
" 'I'm calling the organization of the United Brotherhood of it's none of your damn business, Louis, I'll be with you in a second!'",The American President,White House Down,Independence Day,All the President's Men
" 'No, Dad. It was spectacular'",American Beauty,American Graffiti,SLC Punk,Army of Darkness
 'Why would any girl ever marry me' (response) 'Marry you I'm just trying to get someone to play with your ding dong',The Wedding Singer,Moonstruck,Shall We Dance,Monty Python and the Holy Grail
 1999 - 'These Federation types are cowards. The negotiations will be short',Star Wars: Episode 1 The Phantom Menace,Starship Troopers 2:  Hero of the Federation,Star Trek: Federation One,Star Wars: Episode II - Attack of the Clones
" 'When Pirates of the Caribbean breaks down, the pirates dont eat the tourists'",Jurassic Park,Jurassic World,Shakespeare In Love,The Mask
 1990 - 'Do you see that I am your friend',Dances With Wolves,Enemy Mine,Terminator,Hairspray
" 'I don't shut up, I grow up, and when I look at you, I throw up....BLAHHHHHHH!'",Stand By Me,Gladiator,Midnight in the Garden of Good and Evil,Flashdance
 'Destiny is something we've invented because we can't stand the fact that everything that happens is accidental',Sleepless In Seattle,You've Got Mail,Back to the Future,To Kill A Mockingbird
" 'Fry, Fry, anyone, anyone'",Ferris Bueller's Day Off,The Maltese Falcon,Wild Wild West,Fight Club
" 'Yah, with the 20 foot ladder I carry around in my back pocket'",The Haunting,The Naked Gun,Deliverance,Todd
" 'So, is there a Mrs. Mysterio' 'No but I have a very nice cat' 'Not the same' 'Well you don't know my cat... it's very demanding' 'You don't know if it's a boy or a girl' 'I respect it's privacy'",Grosse Point Blank,Todd,Die Hard,Godfather
" 'Mickey's a mouse, Donald's a duck, Pluto's a dog... what the hell's Goofy'",Stand By Me,Wise Guys,Stand up Guys,Speed
 'You're taking money. It's not yours. How is that not like stealing',Office Space,Steel Magnolias,Crash,Toy Story
 'Well...there it is',Amadeus,"Adventures of Priscilla, Queen of the Desert",The Birdcage,Men In Black
" 'It didn't eat me,' (response) 'Cause it just ate a cow stupid!'",Lake Placid,Men in Black,Big Daddy,All The President's Men
" 1988 - 'I'm gonna let ya' in on a little secret, Ray. K-Mart sucks'",Rain Man,Die Hard,In And Out,Midnight in the Garden of Good and Evil
" 'Maybe you haven't been keeping up on current events pal, but we just got our asses kicked!'",Aliens,St. Elmo's Fire,Godfather,Citizen Kane
 'Why are you filming that? Because it's beautiful',American Beauty,Willie Wonka and the Chocolate Factory,Batman Returns,Copycat
 Steve: 'Didn't I promise you fireworks' Dylan:'Yeah',Independence Day,Duck Soup,Annie Hall,Firewalker
 'I'm going to make all these caramels disappear..',Good Will Hunting,Life Is Beautiful,1776,Tombstone
" 'Jean Louise. Jean Louise, stand up. Your father's passing'",To Kill A Mockingbird,Return of the Jedi,Top Gun,Dazed And Confused
" 'Bob!' 'No, Steveo' 'Right, Steveo'",SLC Punk,Wayne's World,Boogie Nights,Manhattan
