Question,Answer,Wrong1,Wrong2,Wrong3
 70 percent of the world's oxygen is supplied by,Marine Plants,Trees,Bacteria,Grass
 A fission reaction in this metal is what was used in the atom bomb that wiped out Hiroshima,Uranium,Plutonium,Einsteinium,Cesium
" An atom is comprized of these 3 subatomic particles: Electron, Neutron, and _____",Proton,Quark,Neutrino,Positron
 From which language does the term 'eureka' come,Greek,Roman,Italian,French
 Great waves resulting from earthquakes are called _____,Tsunami,Tidal,Great,Macro
" If you are locked in a completely sealed room, you will die of what kind of poisoning first before you will die of oxygen deprivation",Carbon Dioxide,Nitrogen,Hydrogen,Argon
 In 1800 this man conducted one of the first experiments to demonstrate that visible electromagnetic radiation could produce interference effects. Name him,Thomas Young,Nikola Tesla,Thomas Edison,Albert Einstein
 In Europe this plant was first grown as an ornamental plant and not eaten until the 1830's,Tomato,Grape,Orange,Lemon
" In the process of oxidation, electrons are",Lost,Gained,Transposed,Created
 James Audubon was the first to use bands to identify and track these animals,Birds,Deer,Cows,Dolphins
 Meiosis and mitosis are both processes of what,Cell Division,Kreb Cycle,Cancer,ATP cycle
 On which temperature scale does water freeze at 0 degrees and boil at 80 degrees,Reaumur,Centrigrade,Kelvin,Farenheit
" Solid fragmented material transported and deposited that forms in layers of loose, unconsolidated material is called",Sediment,Dirt,Earth,Rubble
 The chemical formula for table salt,NaCl,Na,Sn,Si
 The rarest color of Jade is,Lilac,Azure,Green,Yellow
 The tides on the earth's Oceans are actually created by gravitational pull from the ____,Moon,Sun,Milky Way,Rotational Axis
 What are measured with the Mercalli scale,Earthquakes,Tornados,Tsunamis,Hurricanes
 What are the three main optical colours,"Blue, Green and Red","Yellow, Red, Blue","Green, Yellow, Blue","Green, White, Yellow"
 What gets larger when one thinks harder,Pupils,Brain,Tongue,Neck
 What is a lux a measure of,Illumination,Air Pressure,Density,Saturation
 What is measured by a chronometer,Time,Distance,Speed,Acceleration
 What is measured by a Geiger counter,Radioactivity,Time,Energy,Pressure
 What is the earth's outer layer of surface soil or crust,Lithosphere,Ionosphere,Troposphere,Mesosphere
 What is the first element in the periodic system of elements,Hydrogen,Helium,Oxygen,Nitrogen
 What is the latitude of the North Pole,90 Degrees North,180 Degrees North,0 Degrees North,0 Degrees South
" What is the positive electrode towards which negative particles move within devices such as batteries, electrolytic cells and diodes",Anode,Cathode,Positron,Electron
 What is the term for mass per unit volume,Density,Weight,Tension,Friction
" What links flamsteed halley, bradley and bliss",Astronomy,Cartography,Geology,Rocketry
" What poison's chemical symbol is ""As""",Arsenic,Argon,Cyanide,Aspartame
 What process did Jean-Baptiste Jolly invent,Dry Cleaning,Dish Washer,Soap,Iron
 What process does Xerox use in its' copying machines,Xerography,Lithography,Facimile,Photography
" What was the first known 'rare earth element', discovered by Johan Gadolin in 1794",Yttrium,Neodynum,Lithium,Uranium
 Which two magnetic poles attract each other,North and South,East and West,North and East,South and West
 Who said Eureka,Archimedes,Albert Einstein,Benjamin Franklin,Thomas Edison
 Glucose and Fructose are also known as,Carbohydrates,Proteins,Electrolytes,Fats
 A group of individual plants or animals is called a what,Population,Kingdom,Herd,Collective
 A monk that lived during the 19th century and studied the heredity of pea plants was who,Gregor Mendel,Charles Darwin,Carl Linneas,Conrad Gessner
 Any free-moving liquid in outer space will form itself into a sphere because of this phenomenon,Surface Tension,Gravity,Density,Mass
 Cetology is the study of _____,Whales,Dolphins,Sharks,Manatees
 From the sap of which trees is turpentine distilled,Palm Trees,Oak Trees,Pine Trees,Maple Trees
" In acid-base neutralization, what are the products","Water, Salt, and Heat",Heat and Salt,Water and Oxygen,Nitrogen and Salt
 Name for the proteins in milk,Casein and Whey,Whey and Lactose,Lactose and Casein,Collagen and Casein
 Scientists measure the distance of the moon by bouncing light off,Mirror,Crater,Apollo Lander,Ice
" The ancient Egyptians used a substance for embalming & washing linen, it is called natron, what is this substance called now & what is it",Sodium,Bleach,Carbon,Soap
 This element was the first ever artificially created one,Technetium,Unobtainium,Einsteinium,Umunumium
