Question,Answer,Wrong1,Wrong2,Wrong3
 From which sport does the phrase 'win hands down' come,Horse Racing,Equestrian,Sailing,Boxing
" In horse racing, what is the straight opposite the one with the finish line",Backstretch,Start line,First Line,FirstStretch
" In sailing, what is a warp",Rope,Anchor,Rudder,Bow
 In what sport would you use spikes and blocks,Athletics,Cricket,Rugby,Soccer
 In which city is the Cotton Bowl played,Dallas,Houston,New Orleans,Honolulu
 In which city is the Sugar Bowl played,New Orleans,Houston,Dallas,Honolulu
 In which sport would one find batters and pitchers,Baseball,Cricket,Hockey,Rugby
 Johnny Mathis excelled at what two athletic events,High Jump And Hurdles,High Jump And Long Jump,Long jump And Hurdles,Pole Vault and High Jump
" Name the throwing event, making up part of the ancient Greek pentathlon, in which a circular object had to be thrown",Discus,Shotput,Javelin,Bowling
 On what racetrack is the Kentucky Derby run,Churchill Downs,Canterbury Park,Colonial Downs,Belmont park
 On what type of surface are the tennis matches at Wimbledon played,Grass,Clay ,Hard court,Astroturf
Spanish soccer team which won the European Champions League in 2016,Real Madrid ,Barcelona,Athletico Madrid,Sevilla
 She was Sports Illustrated's first female 'Sportsman of the Year',Billie Jean King,Maritna Navratilova,Chris Evert,Steffi Graff
 The Bosman ruling was a legal decision relating to which sport,Football,Rugby,Baseball,Basketball
 The maximum legal weight of this sporting device is 16 pounds,Bowling Ball,Discuss,Shotput,Javelin
 The name of the Women's International Badminton Championship Cup,Uber,Thomas,Davis,Henry
 This is the most coveted trophy in Candian football,Grey Cup,Brown,Black,Blue
 This sport is called the 'American Pastime',Baseball,Basketball,Football,Ice Hockey
 This super-fast ball game is also known as Jai Alai,Pelota,Racquetball,Squash,Lacrosse
 This traditional  wrestling sport takes place in a circular ring,Sumo Wrestling,Lucha Libre,Sambo,Kurash
 What are raced in the sport called coursing,Greyhounds,Horses,Cats,Elephants
 What are you doing if you are ledgering,Fishing,Sailing,Rowing,Parachuting
" What collegiate sport includes 3 match periods, one shorter than the other",Wrestling,Boxing,Fencing,Water Polo
